partition,ppn,nproc,estimated_nodes,last_node_ranks,message_size_bytes,optimal_algorithm,optimal_predicted_time_sec,predicted_time_sec__binomial,predicted_time_sec__circ_graph,predicted_time_sec__nb,predicted_time_sec__pipelined_tree,predicted_time_sec__release_gather,predicted_time_sec__scatter_recursive_doubling_allgather,predicted_time_sec__scatter_ring_allgather,predicted_time_sec__tree
single_node,16,8,1,8,1024,release_gather,1.304476244332049e-06,6.266682977305476e-06,3.6578796990266416e-06,7.2801208193273446e-06,6.402422823094691e-06,1.304476244332049e-06,1.4150276101474032e-05,2.477106775511606e-05,6.4071602945695e-06
single_node,16,8,1,8,1536,release_gather,1.4547802396915893e-06,7.455867986650681e-06,3.943630491400662e-06,7.808511164609747e-06,7.492473705482658e-06,1.4547802396915893e-06,1.5284275283613777e-05,2.521282963483125e-05,7.505589393076241e-06
single_node,16,8,1,8,2048,release_gather,1.5558997296125365e-06,7.98539529555302e-06,4.117435661618474e-06,8.284733070314488e-06,8.027060280286836e-06,1.5558997296125365e-06,1.5704656711201726e-05,2.542410293272828e-05,8.02874578949546e-06
single_node,16,8,1,8,3072,release_gather,2.1795424965331133e-06,8.827675211504217e-06,5.081174818501925e-06,9.251486257437883e-06,8.934938792187929e-06,2.1795424965331133e-06,1.590992394055216e-05,2.5463080356135808e-05,8.933933143031555e-06
single_node,16,8,1,8,4096,release_gather,2.353630004296996e-06,9.207482875006206e-06,5.632059382835519e-06,9.651236805482498e-06,9.316427936816695e-06,2.353630004296996e-06,1.589233121044862e-05,2.5463080356135808e-05,9.319856119357949e-06
single_node,16,8,1,8,6144,release_gather,2.6382210154311204e-06,9.678554833399562e-06,6.4047408980115524e-06,1.0159650828897384e-05,9.823870095025879e-06,2.6382210154311204e-06,1.5907323927412432e-05,2.5463080356135808e-05,9.821528971063293e-06
single_node,16,8,1,8,8192,release_gather,5.759989212895541e-06,1.962720593253214e-05,1.7548401347393012e-05,1.9712976568598005e-05,1.967270901633151e-05,5.759989212895541e-06,1.941058777926317e-05,2.7305402012392366e-05,1.9684787203094316e-05
single_node,16,8,1,8,12288,release_gather,6.46391764210691e-06,2.1999918356468868e-05,2.171086590148179e-05,2.2053260394678758e-05,2.2050922260539314e-05,6.46391764210691e-06,2.1843679485708504e-05,2.9439681989055385e-05,2.2038731779564626e-05
single_node,16,8,1,8,16384,release_gather,7.785073641942144e-06,2.6320354297895962e-05,2.618781468097572e-05,2.6320354297895962e-05,2.6363641740250507e-05,7.785073641942144e-06,2.6226362812752273e-05,3.297260051086986e-05,2.63096416771052e-05
single_node,16,8,1,8,24576,release_gather,1.0420359611026265e-05,3.0549417036420596e-05,3.042992541298645e-05,3.056331669654643e-05,3.06775930983381e-05,1.0420359611026265e-05,3.056331669654643e-05,3.56408286270707e-05,3.055087715191973e-05
single_node,16,8,1,8,32768,release_gather,1.3005451096924412e-05,3.79685897204302e-05,3.8170637542361564e-05,3.806082952770943e-05,3.813078561719351e-05,1.3005451096924412e-05,3.806082952770943e-05,3.9963632999604905e-05,3.799824166288126e-05
single_node,16,8,1,8,49152,release_gather,2.1024451779030673e-05,4.5955278597396546e-05,4.706033741999857e-05,4.646007351792958e-05,4.646007351792958e-05,2.1024451779030673e-05,4.663890795675909e-05,4.737876126888345e-05,4.668250784637613e-05
single_node,16,8,1,8,65536,release_gather,2.6495306872412934e-05,5.636871431615199e-05,5.7871147065000865e-05,5.700556202328695e-05,5.72154919333082e-05,2.6495306872412934e-05,5.72249882299774e-05,5.8000376227953746e-05,5.729225471868076e-05
single_node,16,8,1,8,98304,release_gather,4.226198628942128e-05,7.966789288252538e-05,8.132006350065775e-05,7.917134787736646e-05,8.826642111872581e-05,4.226198628942128e-05,7.905346236782732e-05,7.980693496286756e-05,7.952193128528435e-05
single_node,16,8,1,8,131072,release_gather,5.038647740695877e-05,9.923283727916747e-05,0.00010058830995572914,9.80487893493657e-05,0.00011077561327974514,5.038647740695877e-05,9.782021962522307e-05,9.940602549382124e-05,9.905737020948915e-05
single_node,16,8,1,8,196608,release_gather,8.299429020674606e-05,0.00013586368623188722,0.00014097657286085165,0.00013652434727397106,0.00016026161319727903,8.299429020674606e-05,0.00013608879703021069,0.000138093176594078,0.00013933928045363855
single_node,16,8,1,8,262144,release_gather,0.00013852871770621497,0.00017208396970298082,0.0001763267776832155,0.00017349194929844024,0.00023987191972201928,0.00013852871770621497,0.0001723675342277707,0.00017623144985343356,0.00018471503031743596
single_node,16,8,1,8,393216,release_gather,0.00016186974054301174,0.00020711459426227654,0.00020409481796644676,0.00020798932990286992,0.00030891774934678435,0.00016186974054301174,0.0002057182229035673,0.00021136341331489091,0.00023805581454007545
single_node,16,8,1,8,524288,release_gather,0.0002082303893919645,0.0002601502381916144,0.0002475959628521451,0.0002627659455376842,0.0004379038401548031,0.0002082303893919645,0.0002592522568607372,0.0002671579718203335,0.0003097312327174779
single_node,16,8,1,8,786432,release_gather,0.0003286141425308199,0.0003766558718444362,0.00034682300976471715,0.00037393776532481895,0.0007727476290670693,0.0003286141425308199,0.00037487895628127366,0.00038210883357189297,0.00046177351812975694
single_node,16,8,1,8,1048576,release_gather,0.0004120591547958527,0.0004750084050995832,0.00042435016139337456,0.0004682244923613913,0.001039178619929146,0.0004120591547958527,0.00046945179384986065,0.00047197043894041206,0.0005371293174978205
