phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,22,22,binomial,1,0,256,3,0.020176231,0.000078813,0.000004388,0.000139762,1
warmup,23,23,binomial,1,0,256,3,0.022972097,0.000089735,0.000001924,0.000145703,1
warmup,24,24,binomial,1,0,256,3,0.017518575,0.000068432,0.000004579,0.000119454,1
warmup,25,25,binomial,1,0,256,3,0.025284147,0.000098766,0.000003006,0.000163998,1
warmup,26,26,binomial,1,0,256,3,0.022544911,0.000088066,0.000008025,0.000164740,1
warmup,27,27,binomial,1,0,256,3,0.023255010,0.000090840,0.000001793,0.000161022,1
warmup,28,28,binomial,1,0,256,3,0.019994961,0.000078105,0.000004418,0.000137809,1
warmup,29,29,binomial,1,0,256,3,0.024572042,0.000095985,0.000002765,0.000156544,1
warmup,30,30,binomial,1,0,256,3,0.020419544,0.000079764,0.000004438,0.000148127,1
warmup,31,31,binomial,1,0,256,3,0.024709298,0.000096521,0.000004648,0.000158067,1
warmup,32,32,binomial,1,0,256,3,0.018009344,0.000070349,0.000004529,0.000124463,1
warmup,33,33,binomial,1,0,256,3,0.023825012,0.000093066,0.000004609,0.000154239,1
warmup,34,34,binomial,1,0,256,3,0.017331631,0.000067702,0.000004539,0.000117731,1
warmup,35,35,binomial,1,0,256,3,0.021679818,0.000084687,0.000002054,0.000141225,1
warmup,36,36,binomial,1,0,256,3,0.019073321,0.000074505,0.000004829,0.000121828,1
warmup,37,37,binomial,1,0,256,3,0.025758603,0.000100620,0.000002585,0.000172363,1
warmup,38,38,binomial,1,0,256,3,0.021721713,0.000084850,0.000004549,0.000153147,1
warmup,39,39,binomial,1,0,256,3,0.025874612,0.000101073,0.000004559,0.000168847,1
warmup,40,40,binomial,1,0,256,3,0.019645525,0.000076740,0.000003016,0.000137067,1
warmup,41,41,binomial,1,0,256,3,0.024957109,0.000097489,0.000001753,0.000166292,1
warmup,42,42,binomial,1,0,256,3,0.016464038,0.000064313,0.000006823,0.000115106,1
warmup,43,43,binomial,1,0,256,3,0.021563099,0.000084231,0.000002004,0.000138580,1
warmup,44,44,binomial,1,0,256,3,0.020381195,0.000079614,0.000004609,0.000132389,1
warmup,45,45,binomial,1,0,256,3,0.024811995,0.000096922,0.000002755,0.000182523,1
warmup,46,46,binomial,1,0,256,3,0.017061860,0.000066648,0.000002805,0.000119755,1
warmup,47,47,binomial,1,0,256,3,0.024538541,0.000095854,0.000003126,0.000167565,1
warmup,48,48,binomial,1,0,256,3,0.018425506,0.000071975,0.000004418,0.000139061,1
warmup,49,49,binomial,1,0,256,3,0.026752237,0.000104501,0.000004578,0.000161723,1
warmup,50,50,binomial,1,0,256,3,0.019651504,0.000076764,0.000004538,0.000134573,1
warmup,51,51,binomial,1,0,256,3,0.022674111,0.000088571,0.000003196,0.000145152,1
warmup,52,52,binomial,1,0,256,3,0.017055579,0.000066623,0.000004419,0.000119484,1
warmup,53,53,binomial,1,0,256,3,0.024758859,0.000096714,0.000003196,0.000162345,1
warmup,54,54,binomial,1,0,256,3,0.020632781,0.000080597,0.000007715,0.000134142,1
warmup,55,55,binomial,1,0,256,3,0.022287618,0.000087061,0.000004899,0.000144511,1
warmup,56,56,binomial,1,0,256,3,0.019525594,0.000076272,0.000004589,0.000133791,1
warmup,57,57,binomial,1,0,256,3,0.025877045,0.000101082,0.000003326,0.000177763,1
warmup,58,58,binomial,1,0,256,3,0.018266591,0.000071354,0.000004589,0.000143559,1
warmup,59,59,binomial,1,0,256,3,0.025512149,0.000099657,0.000003056,0.000164088,1
warmup,60,60,binomial,1,0,256,3,0.020097696,0.000078507,0.000004568,0.000128992,1
warmup,61,61,binomial,1,0,256,3,0.025258698,0.000098667,0.000004569,0.000179236,1
warmup,62,62,binomial,1,0,256,3,0.019191664,0.000074967,0.000004439,0.000130976,1
warmup,63,63,binomial,1,0,256,3,0.022719692,0.000088749,0.000004458,0.000148779,1
warmup,64,64,binomial,1,0,256,3,0.018070452,0.000070588,0.000004658,0.000125225,1
warmup,65,65,binomial,1,0,256,3,0.026380729,0.000103050,0.000002565,0.000174457,1
